English,standard bangla,romanized bangla,chakma,romanized chakma
Do you have any allergies?,তোমার কোন অ্যালার্জি আছে?,Tomar kono allergy ache?,তর হন এ্যালার্জি আগন?,Tor hon allergy agon?
I don't like spicy food,আমি তীক্ষ্ণ খাবার পছন্দ করি না।,Ami tikhno khabar pochondo kori na.,মুই তীক্ষ্ম হানা গম নোপাঙ,Mui tikkhno hana gom nopaang
What is the purpose of your visit?,আপনার আগমনের উদ্দেশ্য কি?,Apnar agomoner uddessho ki?,তর ইদু এজানা হারন হি?,Tor idu ejana haron hi?
Can you recommend a good movie?,আপনি কি একটি ভালো চলচ্চিত্র সুপারিশ করতে পারবেন?,Apni ki ekti bhalo cholochitro shuparish korte parben?,তুই ইক্কো গম বই ও নাম হই পারিবে?,Tui ikko gom boi o naam hoi paribe?
I'm going to a wedding tomorrow,আমি আগামীকাল একটি বিয়েতে যাচ্ছি।,Ami agamikal ekti biyete jacchi.,মুই হিল্লে এক্কান মেলাত জাংঅর,Mui hille ekkan melat jaangor
Do you prefer tea or coffee?,আপনি কি চা না কফি পছন্দ করেন?,Apni ki cha na coffee pochondo koren?,তর চা নাহি কফি হুবান গম লাগে?,Tor cha nahi coffee huban gom lage?
I like to exercise in the morning,আমি সকালে ব্যায়াম করতে পছন্দ করি।,Ami shokale beyam korte pochondo kori.,মুই বিন্নে বেয়াম গত্তে গম পাং,Mui binne beyam gotte gom paang
A friend of mine is from Bangladesh,আমার একজন বন্ধু বাংলাদেশ থেকে এসেছে,Amar ekjon bondhu Bangladesh theke esheche,মর ইক্কো সমাজ্জে বাংলাদেজত্তুন ইচ্চে,Mor ikko shomajje Bangladeshottun icche
I like to read books before bed,আমি ঘুমের আগে বই পড়তে পছন্দ করি।,Ami ghumer age boi porte pochondo kori.,মর গুম জেবার আগে বই পরদে গম লাগে,Mor gum jebar age boi porde gom lage
Can you recommend a good restaurant?,আপনি কি ভালো একটি রেস্তোরাঁ সুপারিশ করতে পারবেন?,Apni ki bhalo ekti restaurant shuparish korte parben?,তুই মরে এক্কান গম হোটেল দেগে দি পারিবে?,Tui more ekkan gom hotel dege di paribe?
I'm going to watch a movie tonight,আমি আজ রাতে একটি চলচ্চিত্র দেখতে যাচ্ছি।,Ami aaj rate ekti cholochitro dekhte jacchi.,মুই ইচ্চে রেদত ইক্কো বই সা জাংঅর,Mui icche redot ikko boi sa jaangor
What is your favorite type of music?,তোমার প্রিয় সঙ্গীতের ধরণ কি?,Tomar priyo shongiter dhoron ki?,তুই হিদিক্কে গীত গম পাচ?,Tui hidikke geet gom pach?
I need to buy a birthday present,আমার একটি জন্মদিনের উপহার কিনতে হবে।,Amar ekti jonmodiner upohar kinte hobe.,মর এক্কান জন্মদিনো বকশিস হিনা পুরিবো,Mor ekkan jonmodino bokshis hina puribo
May I have your email address?,আমি কি তোমার ইমেইল ঠিকানা পাবো?,Ami ki tomar email thikana pabo?,মরে ত ই-মেইল ঠিকানা আন পেম?,More to e-mail thikana an pem?
It's time to go to bed.,ঘুমাতে যাওয়ার সময় হয়েছে।,Ghumate jaoyar shomoy hoyeche.,গুম জেবার সময় উয়ে,Gum jebar somoy uye
What date is it today?,আজ কি তারিখ?,Aaj ki tarikh?,ইচ্চে হয় তারিখ?,Icche hoy tarikh?
I have a lot of work to do.,আমার অনেক কাজ করতে হবে।,Amar onek kaaj korte hobe.,মর বহুত হাম গরা পুরিবো,Mor bohut ham gora puribo
My favorite color is blue.,আমার প্রিয় রঙ নীল।,Amar priyo rong neel.,মর এ্যল রং দোল দেগং,Mor yellow rong dol degong
Can you please repeat that?,আপনি কি দয়া করে এটা পুনরায় বলতে পারেন?,Apni ki doya kore eta punoray bolte paren?,তুই এ হদা আন মরে আর অ্যাকবার হই পারিবে?,Tui e hoda an more ar ekbar hoi paribe?
Let's go for a drive.,চলো ড্রাইভে যাই।,Cholo drive e jai.,ড্রাইব ওত যেই,Drive ot jei
I need to make a phone call.,আমার ফোন কল করতে হবে।,Amar phone call korte hobe.,মর  ফোন গরা পুরিবো,Mor phone gora puribo
My birthday is in June.,আমার জন্মদিন জুনে।,Amar jonmodin June e.,মর জনমদিন জুনত,Mor jonomdin Junot
Could you please turn off the light?,আপনি কি দয়া করে আলোক বন্ধ করতে পারবেন?,Apni ki doya kore alok bondho korte parben?,তুই হচ্ত গুরি লাইত্তো মারে দি পারিবে?,Tui hosto guri lightto mare di paribe?
I'm looking for a new job.,আমি একটি নতুন চাকরি খুঁজছি।,Ami ekti notun chakri khujchi.,মুই এক্কান নো চাগুরি তোগাংঅর,Mui ekkan no chaguri togangor
How are you feeling right now?,তুমি এখন কেমন অনুভব করছো?,Tumi ekhon kemon onubhob korcho?,তর ইক্কু হিদিক্কে লাগের?,Tor ikku hidikke lager?
I don't like spicy food.,আমি তীক্ষ্ণ খাবার খেতে পছন্দ করি না।,Ami tikhno khabar khete pochondo kori na.,মুই তীক্ষ্ম হানা হাদে গম নোপাঙ,Mui tikkhno hana hade gom nopaang
Can you teach me how to drive?,আপনি কি আমাকে গাড়ি চালানো শেখাতে পারবেন?,Apni ki amake gari chalano shekhate parben?,তুই মরে গারি চালানা চেগে পারিবে?,Tui more gari chalana chege paribe?
What is your favorite sport?,তোমার প্রিয় খেলা কী?,Tomar priyo khela ki?,তুই হন হেলা আন গম পাজ?,Tui hon hela an gom paaj?
Please close the door behind you.,দয়া করে তোমার পিছনে দরজা বন্ধ করো।,Doya kore tomar pichone dorja bondho koro.,হচ্ত গুরি পিচ্চেন্দি দরজা আন বন্ধ গুরি পারিবে?,Hosto guri picchendi dorja an bondho guri paribe?
How do you get to work every day?,আপনি কীভাবে প্রতিদিন কাজে যাওয়া হয়?,Apni kibhabe protidin kaje jaoya hoy?,তুই নিত্য হিং ইরি হামত যাজ?,Tui nitto hing iri hamot yaaj?
My favorite animal is a dog.,আমার প্রিয় প্রাণী একটি কুকুর।,Amar priyo prani ekti kukur.,মুই হুগুর গম পাং,Mui hugur gom paang
I'm thinking of going on vacation.,আমি ছুটিতে যাবো ভাবছি।,Ami chutite jabo bhabchi.,মুই চুটিত জেম্বোই মনে অয়,Mui chutit jemboi mone oy
Can you please speak more slowly?,আপনি কি দয়া করে ধীরে ধীরে কথা বলতে পারেন?,Apni ki doya kore dhire dhire kotha bolte paren?,তুই এক্কা লারে লারে হদা হ,Tui ekka lare lare hoda ho
How was your weekend?,তোমার সপ্তাহান্ত কেমন ছিল?,Tomar shoptahento kemon chilo?,ত সাপ্তাবো হিদিক্কে জিয়ে,To saptabo hidikke jiye
I need to be picked up at the airport.,আমাকে বিমানবন্দরে যাতে হবে।,Amake bimanbondore jete hobe.,মর বিমান বন্দরত যা পুরিবো,Mor biman bondorot ya puribo
What is your favorite hobby?,তোমার প্রিয় শখ কী?,Tomar priyo shokh ki?,তর শখ হি?,Tor shokh hi?
Please wait here for me.,দয়া করে আমার এখানে অপেক্ষা করুন।,Doya kore amar ekhane opekha korun.,হচ্ত গুরি মরে এক্কা ইওদ বাচ্চে তাক,Hosto guri more ekka iyod bacche tak
I need to buy a new phone.,আমার একটি নতুন ফোন কিনতে হবে,Amar ekti notun phone kinte hobe,মর এক্কান নো ফোন হিনা পুরিবো,Mor ekkan no phone hina puribo
What is your favorite food?,তোমার প্রিয় রকমের খাবার কী?,Tomar priyo rokomer khabar ki?,তর হন হানা আন গম লাগে?,Tor hon hana an gom lage?
I'm going to the gym.,আমি জিমে যাচ্ছি।,Ami gym e jacchi.,মুই জিমত জাংঅর,Mui jimot jaangor
Can I have more coffee?,আমি কি আর কফি পাবো?,Ami ki aar coffee pabo?,মুই হি আর এক্কা কফি পেম,Mui hi ar ekka coffee pem
How do you spend your evenings?,তুমি কীভাবে তোমার সন্ধ্যায় সময় কাটাও?,Tumi kibhabe tomar shondhay shomoy katao?,ত সাজন্নে সময় আন হিং ইরি হাদাস?,To sajonne somoy an hing iri hadas?
I love watching Twilight.,আমি গোধূলি দেখতে ভালোবাসি।,Ami godhuli dekhte bhalobashi.,মর সাজন্নে মাদান গম লাগে,Mor sajonne madan gom lage
Can you recommend a good book to read?,আপনি কি একটি ভালো বই পড়ার জন্য সুপারিশ করতে পারবেন?,Apni ki ekti bhalo boi porar jonno shuparish korte parben?,মরে ইক্কো গম বই ও নাম হই দে,More ikko gom boi o naam hoi de
I need a vacation.,আমার একটি ছুটি দরকার।,Amar ekti chuti dorkar.,মর ইক্কো ছুটি দরকার,Mor ikko chuti dorkar
My favorite subject is science.,আমার প্রিয় বিষয় বিজ্ঞান।,Amar priyo bishoy biggan.,মর বিজ্ঞান সাবজেক্ট  ও গম লাগে,Mor biggyan subject o gom lage
Can you help me with my homework?,আপনি কি আমার বাড়ির কাজে সাহায্য করতে পারবেন?,Apni ki amar barir kaaje shahajjo korte parben?,তুই হি ম গর হামত বল দি পারিবে?,Tui hi mo gor hamot bol di paribe?
I don't like getting up early.,আমি ভোরে উঠতে পছন্দ করি না।,Ami bhore uthte pochondo kori na.,মুই বিন্নে পুত্তে উদদে গম পাং,Mui binne putte udde gom paang
I'm going to a concert tonight.,আমি আজ রাতে একটি সঙ্গীতানুষ্ঠানে যাচ্ছি।,Ami aaj rate ekti shongitanushthane jacchi.,মুই ইচ্ছে এক্কান কনসার্ট ওত জাংঅর,Mui icche ekkan concert ot jaangor
Where did you go on your last vacation?,তুমি তোমার শেষ ছুটিতে কোথায় গিয়েছিলে?,Tumi tomar shesh chutite kothay giyechile?,তুই ত শেষ ছুটি আনত হুদু যিয়োজ?,Tui to shesh chuti anot hudu yioj?
What's your favorite movie?,তোমার প্রিয় চলচ্চিত্রের ধরণ কী?,Tomar priyo cholochitrer dhoron ki?,ত প্রিয় চলচিত্র আন হিদিক্কিন?,To priyo cholochitro an hidikkin?
Can you recommend a good place to eat?,আপনি কি ভালো খাওয়ার জন্য একটি ভালো স্থান সুপারিশ করতে পারবেন?,Apni ki bhalo khaoyar jonno ekti bhalo sthan shuparish korte parben?,মরে গম হানা দোগান একক্কান দেগা,More gom hana dogan ekkan dega
I have an appointment with a dentist tomorrow.,আমার আগামীকাল একজন দাঁতের ডাক্তারের সাথে দেখা করার কথা।,Amar agamikal ekjon danter daktarer shathe dekha korar kotha.,মর হিল্লে ইক্কো দাদ ও ডাক্তর লই দেগা গুরিবার হদা,Mor hille ikko dad o daktor loi dega guribar hoda
Can I get a glass of water?,আমি কি একটি গ্লাস পানি পাবো?,Ami ki ekti glass pani pabo?,মুই এক গ্লাচ পানি পেম,Mui ek glach pani pem
I'm going to see my family next week.,আমি পরের সপ্তাহে আমার পরিবার দেখতে যাচ্ছি।,Ami porer shoptahe amar poribar dekhte jacchi.,মুই এজেত্তে সাপ্তাত ম পরিবার সা জাংঅর,Mui ejette saptat mo poribar sa jaangor
Do you have any plans for the evening?,তোমার সন্ধ্যায় কোন পরিকল্পনা আছে?,Tomar shondhay kono porikolpona ache?,তর সাজন্নে হন হাম আগে?,Tor sajonne hon ham age?
What's your favorite weather?,তোমার প্রিয় আবহাওয়ার ধরণ কী?,Tomar priyo abhaoar dhoron ki?,ত প্রিয় দেবা আন হি?,To priyo deba an hi?
Please consider me your relative.,দয়া করে আমাকে তোমার স্বজন মনে করো।,Doya kore amake tomar shojon mone koro.,তুই মরে ত সদর মানুজ মনে গুরিজ,Tui more to sodor manuj mone gurij
Will I get the bill?,আমি কি বিল পাবো?,Ami ki bill pabo?,মুই হি বিল পেম?,Mui hi bill pem?
I'm going to the theater tonight.,আমি আজ রাতে নাট্যশালাতে যাচ্ছি।,Ami aaj rate nattoshalate jacchi.,ইচ্চে রেদত নাট্যশালাত জাংঅর,Icche redot natyoshalat jaangor
What's your favorite holiday?,তোমার প্রিয় ছুটি কী?,Tomar priyo chuti ki?,তর হন বন্ধ বো গম লাগে?,Tor hon bondho bo gom lage?
I'm going to a party tomorrow.,আমি আগামীকাল একটি পার্টিতে যাচ্ছি।,Ami agamikal ekti party te jacchi.,মুই হিল্লে ইক্কো পর্টিত জাংঅর,Mui hille ikko partyt jaangor
What do you like to cook?,তুমি কী রান্না করতে পছন্দ করো?,Tumi ki ranna korte pochondo koro?,তুই হি রানদে গম পাচ?,Tui hi rande gom paach?
I'm going to the beach this week.,আমি এই সপ্তাহে সৈকতে যাচ্ছি।,Ami ei shoptahe shoikote jacchi.,মুই এ সাপ্তাত সাগরত জাংঅর,Mui e saptat sagorot jaangor
I need to do some shopping.,আমার কিছু কেনাকাটা করতে হবে।,Amar kichu kenakata korte hobe.,মর হিজু হিনা পুরিবো,Mor hiju hina puribo
What's your favorite music?,তোমার প্রিয় সঙ্গীতের ধরণ কী?,Tomar priyo shongiter dhoron ki?,ত প্রিয় গান আন হিদিক্কিন?,To priyo gaan an hidikkin?
I'm going to a wedding next month.,আমি পরের মাসে একটি বিয়েতে যাচ্ছি।,Ami porer mashe ekti biyete jacchi.,সামনে মাজত মুই এক্কান মেলাত জংঅর,Samne majot mui ekkan melat jongor
Can you recommend a good place to visit?,আপনি কি একটি ভালো দর্শনীয় স্থান সুপারিশ করতে পারবেন?,Apni ki ekti bhalo dorshoniyo sthan shuparish korte parben?,মরে এক্কান দোল বেরেবার জাগা দেগে দে,More ekkan dol berebar jaga dege de
I need to buy a new laptop.,আমার একটি নতুন ল্যাপটপ কিনতে হবে।,Amar ekti notun laptop kinte hobe.,মর এক্কান নো ল্যাপটপ লাগিবো,Mor ekkan no laptop lagibo
What's your favorite type of dessert?,তোমার প্রিয় মিষ্টান্নের ধরণ কী?,Tomar priyo mishtanner dhoron ki?,তুই হন মিষ্টি বো গম পাজ,Tui hon mishti bo gom paaj
Could you please try turning up the volume?,আপনি কি দয়া করে ভলিউম বাড়ানোর চেষ্টা করতে পারেন?,Apni ki doya kore volume baranor cheshta korte paren?,তুই এক্কা সাউন্ড ও বারা,Tui ekka sound o bara
I have a job interview next week.,আমি পরের সপ্তাহে একটি চাকরির ইন্টারভিউ দিতে যাচ্ছি।,Ami porer shoptahe ekti chakrir interview dite jacchi.,মুই সামনে মাজত এক্কান ইন্টারভিউ দে জাংঅর,Mui samne majot ekkan interview de jaangor
What's your favorite type of exercise?,তোমার প্রিয় ব্যায়ামের ধরণ কী?,Tomar priyo beyamer dhoron ki?,তর হন ব্যায়াম আন গম লাগে?,Tor hon beyam an gom lage?
Please make a reservation for two.,দয়া করে দুইটির জন্য রিজার্ভেশন করুন।,Doya kore duitir jonno reservation korun.,হুজুলি গুরি হংঅর দিবে রিজার্ব গুরি দে,Hujuli guri hongor dibe reserve guri de
I'm going to a business meeting tomorrow.,আমি আগামীকাল একটি ব্যবসায়িক মিটিংয়ে যাচ্ছি।,Ami agamikal ekti bebshayik meetinge jacchi.,মুই হিল্লে এক্কান ব্যবসা মিটিং ওত জাংঅর,Mui hille ekkan bebsha meeting ot jaangor
Can you hold my bag for me?,আপনি কি আমার সাথে আমার ব্যাগ ধরতে পারবেন?,Apni ki amar shathe amar bag dhorte parben?,ম লগে বেক্কো এক্কা দরি পারিবে,Mo loge bekko ekka dori paribe
What's your favorite type of fruit?,তোমার প্রিয় ফলের ধরণ কী?,Tomar priyo pholer dhoron ki?,তুই হন ফল্লো গম পাজ?,Tui hon follo gom paaj?
I'm going to the park with my friends.,আমি আমার বন্ধুদের সাথে পার্কে যাচ্ছি।,Ami amar bondhuder shathe parke jacchi.,ম সমাজ্জে উনো লগে পার্কত জাংঅর,Mo shomajje uno loge parkot jaangor
Could you please pass me the menu?,আপনি কি দয়া করে আমাকে মেনু পাস করতে পারবেন?,Apni ki doya kore amake menu pass korte parben?,মরে ইন্দি মেনু আন বাগে দে,More indi menu an bage de
I'm going to a music concert next month.,আমি পরের মাসে একটি সঙ্গীত কনসার্টে যাচ্ছি।,Ami porer mashe ekti shongit concerte jacchi.,মুই পর মাজত ইজ্ঞু গানো কন্সার্টত যাঙর,Mui por majot iggu gaano concertot yaangor
What's your favorite type of flower?,তোমার প্রিয় ফুলের ধরণ কী?,Tomar priyo fuler dhoron ki?,তর হন ফুল্ল গম লাগে?,Tor hon fullo gom lage?
Please take off your shoes before you enter.,দয়া করে ঢুকার আগে আপনার জুতা খুলুন।,Doya kore dhukar age apnar juta khulun.,গরত সুমিবার আগে চপ্পল আনি হুল,Gorot sumibar age choppol ani hul
I'm going to a comedy show tonight.,আমি আজ রাতে একটি কমেডি শোয়ে যাচ্ছি।,Ami aaj rate ekti comedy show te jacchi.,ইচ্চে রেদোত কমেডি শো সা জাংঅর,Icche redot comedy show sa jaangor
I need to buy a new shirt.,আমার একটি নতুন জামা কিনতে হবে।,Amar ekti notun jama kinte hobe.,মর ইক্কো নো সুলুম হিনা পুরিবো,Mor ikko no sulum hina puribo
What's your favorite type of art?,তোমার প্রিয় শিল্পের ধরণ কী?,Tomar priyo shilper dhoron ki?,ত প্রিয় শিল্প আন হিদিক্কিন?,To priyo shilpo an hidikkin?
Can you please help me with my computer?,আপনি কি দয়া করে আমার কম্পিউটারে সাহায্য করতে পারেন?,Apni ki doya kore amar computer e shahajjo korte paren?,মরে এক্কা কম্পিউটার ওত বল দে,More ekka computer ot bol de
I'm going to a museum next week.,আমি পরের সপ্তাহে একটি জাদুঘরে যাচ্ছি।,Ami porer shoptahe ekti jadughore jacchi.,সামনে সাপ্তাদ জাদুগরত জেম,Samne saptad jadughorot jem
I'm going hiking in the mountains.,আমি পাহাড়ে হাইকিং করতে যাচ্ছি।,Ami pahare hiking korte jacchi.,মুই মুরত উদিবার যাঙর।,Mui murot udibar yaangor.
Could you please pass me the remote control?,আপনি কি দয়া করে আমাকে রিমোট কন্ট্রোল পাস করতে পারবেন?,Apni ki doya kore amake remote control pass korte parben?,তুই হি মরে হুজুলি গুরি রিমোট কন্ট্রোল আন দি পারিবি?,Tui hi more hujuli guri remote control an di paribi?
I'm going to a dance performance next month.,আমি পরের মাসে একটি নৃত্য প্রদর্শনে যাচ্ছি।,Ami porer mashe ekti nritto prodorshone jacchi.,মুই পর মাজত ইজ্ঞু নাজিয়ে অনুষ্ঠান চেবার যাঙর।,Mui por majot iggu najiye onushthan chebar yaangor.
What's your favorite type of drink?,তোমার প্রিয় পানের ধরণ কী?,Tomar priyo paner dhoron ki?,ত প্রিয় পান আন হিদিক্কিন?,To priyo paan an hidikkin?
I'm going to a seminar on effective learning apps.,আমি একটি কার্যকর শেখা অ্যাপস নিয়ে একটি সেমিনারে যাচ্ছি।,Ami ekti karjokor shekha apps niye ekti seminare jacchi.,মুই ইজ্ঞু কার্যকর শিগিবার এপস লোনেলই ইজ্ঞু সেমিনারঙ যাঙর,Mui iggu karjokor shigibar apps loneloi iggu seminarong yaangor
I'm going to a sporting event this week.,আমি এই সপ্তাহে একটি খেলার ঘটনায় যাচ্ছি।,Ami ei shoptahe ekti khelar ghotonay jacchi.,মুই এই সাপ্তাত ইজ্ঞু হিলিবায় ঘটনাত যাঙর,Mui ei saptat iggu hilibay ghotonat yaangor
What's your favorite type of bread?,তোমার প্রিয় রকমের রুটি কী?,Tomar priyo rokomer ruti ki?,ত প্রিয় রুটি আন হিদিক্কিন?,To priyo ruti an hidikkin?
Please don't be late.,দয়া করে দেরি করবেন না।,Doya kore deri korben na.,হুজুলি গুরি দেরি নগুরিজ,Hujuli guri deri nogurij
I'm going to a film screening next month.,আমি পরের মাসে একটি ছবির প্রদর্শনীতে যাচ্ছি।,Ami porer mashe ekti chobir prodorshonite jacchi.,মুই পর মাজত ইজ্ঞু ছবি প্রদর্শনীত যাঙর,Mui por majot iggu chobi prodorshonit yaangor
Could you please pass me the salad?,আপনি কি দয়া করে আমাকে সালাদ পাস করতে পারবেন?,Apni ki doya kore amake salad pass korte parben?,তুই হি মরে হুজুলি গুরি ইজ্ঞু সালাত দি পারিবি?,Tui hi more hujuli guri iggu salat di paribi?
I'm going to a comedy club tonight.,আমি আজ রাতে একটি কমেডি ক্লাবে যাচ্ছি।,Ami aaj rate ekti comedy clube jacchi.,মুই ইচ্ছি রেডত ইজ্ঞু কমেডি ক্লাবত যাঙর,Mui icchi redot iggu comedy clubot yaangor
What's your favorite type of pasta?,তোমার প্রিয় রকমের পাস্তা কী?,Tomar priyo rokomer pasta ki?,ত প্রিয় পাস্তা আন হিদিক্কিন?,To priyo pasta an hidikkin?
What's your favorite language learning app?,তোমার প্রিয় ভাষা শেখার জন্য অধ্যয়ন অ্যাপ কী?,Tomar priyo bhasha shekhar jonno oddhoyon app ki?,ত প্রিয় ভাষা শিগিবার হনো এপস আগে?,To priyo bhasha shigibar hono apps age?
I'm going to a cooking class next week.,আমি পরের সপ্তাহে একটি রান্নার ক্লাসে যাচ্ছি।,Ami porer shoptahe ekti rannar classe jacchi.,মুই পর সাপ্তাত ইজ্ঞু তোন রানানা শিগিবার ক্লাসত যাঙর,Mui por saptat iggu ton ranana shigibar classot yaangor
What's your favorite type of vegetable?,তোমার প্রিয় সবজির ধরণ কী?,Tomar priyo shobjir dhoron ki?,ত প্রিয় সবজি আন হিদিক্কিন?,To priyo sobji an hidikkin?
"Please stay calm, I'm concentrating.","দয়া করে শান্ত থাকুন, আমি মনোনিবেশ করছি।","Doya kore shanto thakun, ami mononibesh korchi.","হুজুলি গুরি জুরো থাক, মুই মনোসংযোগ গরঙর","Hujuli guri juro thak, mui monosongjog gorongor"
I'm going to a film festival next month.,আমি পরের মাসে একটি চলচ্চিত্র উৎসবে যাচ্ছি।,Ami porer mashe ekti cholochitro utshobe jacchi.,মুই পর মাজত ইজ্ঞু চলচিত্র উৎসবত যাঙর,Mui por majot iggu cholochitro utshobot yaangor
I'm going to a charity event next week.,আমি পরের সপ্তাহে একটি চ্যারিটি ইভেন্টে যাচ্ছি।,Ami porer shoptahe ekti charity event e jacchi.,মুই পর সাপ্তাত ইজ্ঞু চ্যারিটি ইভেন্ট যাঙর,Mui por saptat iggu charity event yaangor
What's your favorite type of chocolate?,তোমার প্রিয় চকোলেটের ধরণ কী?,Tomar priyo chocolate er dhoron ki?,ত প্রিয় চগলেট আন হিদিক্কিন?,To priyo choglet an hidikkin?
Can you recommend a good place to have a chat?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি চক্রান্তন করার জন্য?,Apni ki ekti bhalo sthan shuparish korte paren ekti chokranton korar jonno?,তুই হি মরে ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি ইজ্ঞু চক্রান্ত  গুরিবার লাই,Tui hi more iggu gom jaga suparish guri paribi iggu chokranto guribar lai
Turn off your phone during the meeting.,মিটিং সময়ে আপনার ফোন বন্ধ করুন।,Meeting shomoye apnar phone bondho korun.,মিটিং ও সময়ত ত ফোন আন বন্ধ গুরিস,Meeting o somoyot to phone an bondho guris
I'm going to a fashion show next month.,আমি পরের মাসে একটি ফ্যাশন শোয়ে যাচ্ছি।,Ami porer mashe ekti fashion show te jacchi.,মুই পর মাজত ইজ্ঞু ফ্যাশন শোত যাঙর,Mui por majot iggu fashion showt yaangor
What's your favorite kind of soup?,তোমার প্রিয় সুপের ধরণ কী?,Tomar priyo souper dhoron ki?,ত প্রিয় সুপ আন হিদিক্কিন,To priyo soup an hidikkin
Can you please pass me the butter?,আপনি কি দয়া করে আমাকে মাখন পাস করতে পারবেন?,Apni ki doya kore amake makhon pass korte parben?,"তুই হি মরে হুজুলি গুরি, মাখন আন দি পারিবি?","Tui hi more hujuli guri, makhon an di paribi?"
I'm going to a technology conference next week.,আমি পরের সপ্তাহে একটি প্রযুক্তি কনফারেন্সে যাচ্ছি।,Ami porer shoptahe ekti projukti conference e jacchi.,মুই পরে সাপ্তাত ইজ্ঞু প্রযুক্তি কনফারেন্স ওত যাঙর,Mui pore saptat iggu projukti conference ot yaangor
What's your favorite kind of sandwich?,তোমার প্রিয় স্যান্ডউইচের ধরণ কী?,Tomar priyo sandwich er dhoron ki?,ত প্রিয় স্যান্ডউইচ আন হিদিক্কিন?,To priyo sandwich an hidikkin?
"Please don't leave me alone, I'm working."," দয়া করে আমাকে বিচ্ছেদ করবেন না, আমি কাজ করছি।","Doya kore amake bicched korben na, ami kaaj korchi.","হুজুলি গুরি মরে বিচ্ছেদ নগুরিস, মুই হাম গরঙর","Hujuli guri more bicched noguris, mui ham gorongor"
I'm going to a poetry reading event next month.,আমি পরের মাসে একটি কবিতা পড়ার ইভেন্টে যাচ্ছি।,Ami porer mashe ekti kobita porar event e jacchi.,মুই পর মাজত ইজ্ঞু কবিতা পুড়িবার ইভেন্ট যাঙর।,Mui por majot iggu kobita puribar event yaangor.
What's your favorite kind of ice cream?,তোমার প্রিয় আইস ক্রিমের ধরণ কী?,Tomar priyo ice cream-er dhoron ki?,ত প্রিয় আইস্ক্রিম আন হিদিক্কিন?,To priyo ice cream an hidikkin?
Please remember to hold the door open.,দয়া করে দরজা তুলে রাখতে ভুলবেন না।,Doya kore dorja tule rakhte bhulben na.,হুজুলি গুরি দরজা আন তুলি রাগদে নোভুলিজ,Hujuli guri doroja aan tuli ragde nobhulijo
I'm going to a wine tasting event next week.,আমি পরের সপ্তাহে একটি মদ চেষ্টা করার ইভেন্টে যাচ্ছি।,Ami porer shoptahe ekti mod cheshta korar event-e jacchi.,মুই পরে সাপ্তাত ইজ্ঞু মদ চেষ্টা গুরিবার ইভেন্ট যাঙর।,Mui pore shaptaat igne mod cheshta guribar event jaangor.
I'm going to a meditation retreat next month.,আমি পরের মাসে একটি ধ্যান অবস্থানে যাচ্ছি।,Ami porer mashe ekti dhyan obosthane jacchi.,মুই পর মাজত ইজ্ঞু ধ্যানত যাঙর,Mui por majot igne dhyanot jaangor
Can you please pass me the ketchup?,আপনি কি দয়া করে আমাকে কেচাপ পাস করতে পারবেন?,Apni ki doya kore amake ketchup pass korte parben?,তুই হি মরে হুজুলি গুরি ইজ্ঞু কেচ আপ দি পারিবি?,Tui hi more hujuli guri igne ketchup di paribi?
Can you please pass me the napkin?,আপনি কি দয়া করে আমাকে ন্যাপকিন পাস করতে পারবেন?,Apni ki doya kore amake napkin pass korte parben?,তুই হি মরে হুজুলি গুরি ইজ্ঞু ন্যাপকিন দি পারিবি?,Tui hi more hujuli guri igne napkin di paribi?
I'm going to a book club meeting next week.,আমি পরের সপ্তাহে একটি বই ক্লাব মিটিংয়ে যাচ্ছি।,Ami porer shoptahe ekti boi club meeting-e jacchi.,মুই পরে সাপ্তাত ইজ্ঞু বই ক্লাবর মিটিং ওত যাঙর,Mui pore shaptaat igne boi clubor meeting-ot jaangor
What's your favorite kind of juice?,তোমার প্রিয় রসের ধরণ কী?,Tomar priyo rosher dhoron ki?,ত প্রিয় রস আন হিদিক্কিন?,To priyo ros aan hidikkin?
"Please, I'm talking and you're listening.",দয়া করে আমি কথা বলছি এবং আপনি আমার কথা বুঝতে দেখছেন।,Doya kore ami kotha bolchi ebong apni amar kotha bujhte dekhchen.,হুজুলি গুরি মুই হদা হঙর আর তুই ম হদা আন বুঝিবার চর,Hujuli guri mui hoda hongor aar tui mo hoda aan bujhibar chor
I'm going to a gardening workshop next month.,আমি পরের মাসে একটি বাগান করার কারখানা যাচ্ছি।,Ami porer mashe ekti bagan korar karkhana jacchi.,মুই পর মাজত ইজ্ঞু বাগান গুরিবার কারখানাত যাঙর,Mui por majot igne bagan guribar karkhanat jaangor
What's your favorite kind of cake?,তোমার প্রিয় কেকের ধরণ কী?,Tomar priyo cake-er dhoron ki?,ত প্রিয় কেক আন হিদিক্কিন?,To priyo cake aan hidikkin?
Can you recommend a good place to have a picnic?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি পিকনিক করার জন্য?,Apni ki ekti bhalo sthan shuparish korte paren ekti picnic korar jonno?,তুই হি মরে ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি পিনিকর লাই,Tui hi more igne gom jaga shuparish guri paribi picnicor lai
